Range,Duration,Target,Raised,Category
15000-19999,60,20000,5000,0
15000-19999,60,20000,5500,0
15000-19999,60,20000,6000,0
15000-19999,60,20000,6500,0
15000-19999,60,20000,7000,0
15000-19999,60,20000,7500,0
15000-19999,60,20000,8000,0
15000-19999,60,20000,8500,0
15000-19999,60,20000,9000,0
15000-19999,60,20000,9500,0
15000-19999,60,20000,10000,0
15000-19999,60,20000,10500,0
15000-19999,60,20000,11000,0
15000-19999,60,20000,11500,0
15000-19999,60,20000,12000,0
15000-19999,60,20000,12500,0
15000-19999,60,20000,13000,0
15000-19999,60,20000,13500,0
15000-19999,60,20000,14000,0
15000-19999,60,20000,14500,0
15000-19999,60,20000,15000,0
15000-19999,60,20000,15500,0
15000-19999,60,20000,16000,0
15000-19999,60,20000,16500,0
15000-19999,60,20000,17000,1
15000-19999,60,20000,17500,1
15000-19999,60,20000,18000,1
15000-19999,60,20000,18500,1
15000-19999,60,20000,19000,1
15000-19999,60,20000,19500,1
15000-19999,60,20000,20000,1
15000-19999,90,15000,0,0
15000-19999,90,15000,500,0
15000-19999,90,15000,1000,0
15000-19999,90,15000,1500,0
15000-19999,90,15000,2000,0
15000-19999,90,15000,2500,0
15000-19999,90,15000,3000,0
15000-19999,90,15000,3500,0
15000-19999,90,15000,4000,0
15000-19999,90,15000,4500,0
15000-19999,90,15000,5000,0
15000-19999,90,15000,5500,0
15000-19999,90,15000,6000,0
15000-19999,90,15000,6500,0
15000-19999,90,15000,7000,0
15000-19999,90,15000,7500,0
15000-19999,90,15000,8000,0
15000-19999,90,15000,8500,0
15000-19999,90,15000,9000,0
15000-19999,90,15000,9500,0
15000-19999,90,15000,10000,0
15000-19999,90,15000,10500,0
15000-19999,90,15000,11000,0
15000-19999,90,15000,11500,0
15000-19999,90,15000,12000,0
15000-19999,90,15000,12500,0
15000-19999,90,15000,13000,0
15000-19999,90,15000,13500,0
15000-19999,90,15000,14000,0
15000-19999,90,15000,14500,0
15000-19999,90,15000,15000,1
15000-19999,90,15500,0,0
15000-19999,90,15500,500,0
15000-19999,90,15500,1000,0
15000-19999,90,15500,1500,0
15000-19999,90,15500,2000,0
15000-19999,90,15500,2500,0
15000-19999,90,15500,3000,0
15000-19999,90,15500,3500,0
15000-19999,90,15500,4000,0
15000-19999,90,15500,4500,0
15000-19999,90,15500,5000,0
15000-19999,90,15500,5500,0
15000-19999,90,15500,6000,0
15000-19999,90,15500,6500,0
15000-19999,90,15500,7000,0
15000-19999,90,15500,7500,0
15000-19999,90,15500,8000,0
15000-19999,90,15500,8500,0
15000-19999,90,15500,9000,0
15000-19999,90,15500,9500,0
15000-19999,90,15500,10000,0
15000-19999,90,15500,10500,0
15000-19999,90,15500,11000,0
15000-19999,90,15500,11500,0
15000-19999,90,15500,12000,0
15000-19999,90,15500,12500,0
15000-19999,90,15500,13000,0
15000-19999,90,15500,13500,0
15000-19999,90,15500,14000,0
15000-19999,90,15500,14500,0
15000-19999,90,15500,15000,0
15000-19999,90,15500,15500,1
15000-19999,90,16000,0,0
15000-19999,90,16000,500,0
15000-19999,90,16000,1000,0
15000-19999,90,16000,1500,0
15000-19999,90,16000,2000,0
15000-19999,90,16000,2500,0
15000-19999,90,16000,3000,0
15000-19999,90,16000,3500,0
15000-19999,90,16000,4000,0
15000-19999,90,16000,4500,0
15000-19999,90,16000,5000,0
15000-19999,90,16000,5500,0
15000-19999,90,16000,6000,0
15000-19999,90,16000,6500,0
15000-19999,90,16000,7000,0
15000-19999,90,16000,7500,0
15000-19999,90,16000,8000,0
15000-19999,90,16000,8500,0
15000-19999,90,16000,9000,0
15000-19999,90,16000,9500,0
15000-19999,90,16000,10000,0
15000-19999,90,16000,10500,0
15000-19999,90,16000,11000,0
15000-19999,90,16000,11500,0
15000-19999,90,16000,12000,0
15000-19999,90,16000,12500,0
15000-19999,90,16000,13000,0
15000-19999,90,16000,13500,0
15000-19999,90,16000,14000,0
15000-19999,90,16000,14500,0
15000-19999,90,16000,15000,0
15000-19999,90,16000,15500,0
15000-19999,90,16000,16000,1
15000-19999,90,16500,0,0
15000-19999,90,16500,500,0
15000-19999,90,16500,1000,0
15000-19999,90,16500,1500,0
15000-19999,90,16500,2000,0
15000-19999,90,16500,2500,0
15000-19999,90,16500,3000,0
15000-19999,90,16500,3500,0
15000-19999,90,16500,4000,0
15000-19999,90,16500,4500,0
15000-19999,90,16500,5000,0
15000-19999,90,16500,5500,0
15000-19999,90,16500,6000,0
15000-19999,90,16500,6500,0
15000-19999,90,16500,7000,0
15000-19999,90,16500,7500,0
15000-19999,90,16500,8000,0
15000-19999,90,16500,8500,0
15000-19999,90,16500,9000,0
15000-19999,90,16500,9500,0
15000-19999,90,16500,10000,0
15000-19999,90,16500,10500,0
15000-19999,90,16500,11000,0
15000-19999,90,16500,11500,0
15000-19999,90,16500,12000,0
15000-19999,90,16500,12500,0
15000-19999,90,16500,13000,0
15000-19999,90,16500,13500,0
15000-19999,90,16500,14000,0
15000-19999,90,16500,14500,0
15000-19999,90,16500,15000,0
15000-19999,90,16500,15500,0
15000-19999,90,16500,16000,0
15000-19999,90,16500,16500,1
15000-19999,90,17000,0,0
15000-19999,90,17000,500,0
15000-19999,90,17000,1000,0
15000-19999,90,17000,1500,0
15000-19999,90,17000,2000,0
15000-19999,90,17000,2500,0
15000-19999,90,17000,3000,0
15000-19999,90,17000,3500,0
15000-19999,90,17000,4000,0
15000-19999,90,17000,4500,0
15000-19999,90,17000,5000,0
15000-19999,90,17000,5500,0
15000-19999,90,17000,6000,0
15000-19999,90,17000,6500,0
15000-19999,90,17000,7000,0
15000-19999,90,17000,7500,0
15000-19999,90,17000,8000,0
15000-19999,90,17000,8500,0
15000-19999,90,17000,9000,0
15000-19999,90,17000,9500,0
15000-19999,90,17000,10000,0
15000-19999,90,17000,10500,0
15000-19999,90,17000,11000,0
15000-19999,90,17000,11500,0
15000-19999,90,17000,12000,0
15000-19999,90,17000,12500,0
15000-19999,90,17000,13000,0
15000-19999,90,17000,13500,0
15000-19999,90,17000,14000,0
15000-19999,90,17000,14500,0
15000-19999,90,17000,15000,0
15000-19999,90,17000,15500,0
15000-19999,90,17000,16000,0
15000-19999,90,17000,16500,0
15000-19999,90,17000,17000,1
15000-19999,90,17500,0,0
15000-19999,90,17500,500,0
15000-19999,90,17500,1000,0
15000-19999,90,17500,1500,0
15000-19999,90,17500,2000,0
15000-19999,90,17500,2500,0
15000-19999,90,17500,3000,0
15000-19999,90,17500,3500,0
15000-19999,90,17500,4000,0
15000-19999,90,17500,4500,0
15000-19999,90,17500,5000,0
15000-19999,90,17500,5500,0
15000-19999,90,17500,6000,0
15000-19999,90,17500,6500,0
15000-19999,90,17500,7000,0
15000-19999,90,17500,7500,0
15000-19999,90,17500,8000,0
15000-19999,90,17500,8500,0
15000-19999,90,17500,9000,0
15000-19999,90,17500,9500,0
15000-19999,90,17500,10000,0
15000-19999,90,17500,10500,0
15000-19999,90,17500,11000,0
15000-19999,90,17500,11500,0
15000-19999,90,17500,12000,0
15000-19999,90,17500,12500,0
15000-19999,90,17500,13000,0
15000-19999,90,17500,13500,0
15000-19999,90,17500,14000,0
15000-19999,90,17500,14500,0
15000-19999,90,17500,15000,0
15000-19999,90,17500,15500,0
15000-19999,90,17500,16000,0
15000-19999,90,17500,16500,0
15000-19999,90,17500,17000,0
15000-19999,90,17500,17500,1
15000-19999,90,18000,0,0
15000-19999,90,18000,500,0
15000-19999,90,18000,1000,0
15000-19999,90,18000,1500,0
15000-19999,90,18000,2000,0
15000-19999,90,18000,2500,0
15000-19999,90,18000,3000,0
15000-19999,90,18000,3500,0
15000-19999,90,18000,4000,0
15000-19999,90,18000,4500,0
15000-19999,90,18000,5000,0
15000-19999,90,18000,5500,0
15000-19999,90,18000,6000,0
15000-19999,90,18000,6500,0
15000-19999,90,18000,7000,0
15000-19999,90,18000,7500,0
15000-19999,90,18000,8000,0
15000-19999,90,18000,8500,0
15000-19999,90,18000,9000,0
15000-19999,90,18000,9500,0
15000-19999,90,18000,10000,0
15000-19999,90,18000,10500,0
15000-19999,90,18000,11000,0
15000-19999,90,18000,11500,0
15000-19999,90,18000,12000,0
15000-19999,90,18000,12500,0
15000-19999,90,18000,13000,0
15000-19999,90,18000,13500,0
15000-19999,90,18000,14000,0
15000-19999,90,18000,14500,0
15000-19999,90,18000,15000,0
15000-19999,90,18000,15500,0
15000-19999,90,18000,16000,0
15000-19999,90,18000,16020,1
15000-19999,90,18000,16520,1
15000-19999,90,18000,17020,1
15000-19999,90,18000,17520,1
15000-19999,90,18500,0,0
15000-19999,90,18500,500,0
15000-19999,90,18500,1000,0
15000-19999,90,18500,1500,0
15000-19999,90,18500,2000,0
15000-19999,90,18500,2500,0
15000-19999,90,18500,3000,0
15000-19999,90,18500,3500,0
15000-19999,90,18500,4000,0
15000-19999,90,18500,4500,0
15000-19999,90,18500,5000,0
15000-19999,90,18500,5500,0
15000-19999,90,18500,6000,0
15000-19999,90,18500,6500,0
15000-19999,90,18500,7000,0
15000-19999,90,18500,7500,0
15000-19999,90,18500,8000,0
15000-19999,90,18500,8500,0
15000-19999,90,18500,9000,0
15000-19999,90,18500,9500,0
15000-19999,90,18500,10000,0
15000-19999,90,18500,10500,0
15000-19999,90,18500,11000,0
15000-19999,90,18500,11500,0
15000-19999,90,18500,12000,0
15000-19999,90,18500,12500,0
15000-19999,90,18500,13000,0
15000-19999,90,18500,13500,0
15000-19999,90,18500,14000,0
15000-19999,90,18500,14500,0
15000-19999,90,18500,15000,0
15000-19999,90,18500,15500,0
15000-19999,90,18500,16000,0
15000-19999,90,18500,16465,1
15000-19999,90,18500,16965,1
15000-19999,90,18500,17465,1
15000-19999,90,18500,17965,1
15000-19999,90,18500,18465,1
15000-19999,90,19000,0,0
15000-19999,90,19000,500,0
15000-19999,90,19000,1000,0
15000-19999,90,19000,1500,0
15000-19999,90,19000,2000,0
15000-19999,90,19000,2500,0
15000-19999,90,19000,3000,0
15000-19999,90,19000,3500,0
15000-19999,90,19000,4000,0
15000-19999,90,19000,4500,0
15000-19999,90,19000,5000,0
15000-19999,90,19000,5500,0
15000-19999,90,19000,6000,0
15000-19999,90,19000,6500,0
15000-19999,90,19000,7000,0
15000-19999,90,19000,7500,0
15000-19999,90,19000,8000,0
15000-19999,90,19000,8500,0
15000-19999,90,19000,9000,0
15000-19999,90,19000,9500,0
15000-19999,90,19000,10000,0
15000-19999,90,19000,10500,0
15000-19999,90,19000,11000,0
15000-19999,90,19000,11500,0
15000-19999,90,19000,12000,0
15000-19999,90,19000,12500,0
15000-19999,90,19000,13000,0
15000-19999,90,19000,13500,0
15000-19999,90,19000,14000,0
15000-19999,90,19000,14500,0
15000-19999,90,19000,15000,0
15000-19999,90,19000,15500,0
15000-19999,90,19000,16000,0
15000-19999,90,19000,16500,0
15000-19999,90,19000,16720,1
15000-19999,90,19000,17220,1
15000-19999,90,19000,17720,1
15000-19999,90,19000,18220,1
15000-19999,90,19000,18720,1
15000-19999,90,19500,0,0
15000-19999,90,19500,500,0
15000-19999,90,19500,1000,0
15000-19999,90,19500,1500,0
15000-19999,90,19500,2000,0
15000-19999,90,19500,2500,0
15000-19999,90,19500,3000,0
15000-19999,90,19500,3500,0
15000-19999,90,19500,4000,0
15000-19999,90,19500,4500,0
15000-19999,90,19500,5000,0
15000-19999,90,19500,5500,0
15000-19999,90,19500,6000,0
15000-19999,90,19500,6500,0
15000-19999,90,19500,7000,0
15000-19999,90,19500,7500,0
15000-19999,90,19500,8000,0
15000-19999,90,19500,8500,0
15000-19999,90,19500,9000,0
15000-19999,90,19500,9500,0
15000-19999,90,19500,10000,0
15000-19999,90,19500,10500,0
15000-19999,90,19500,11000,0
15000-19999,90,19500,11500,0
15000-19999,90,19500,12000,0
15000-19999,90,19500,12500,0
15000-19999,90,19500,13000,0
15000-19999,90,19500,13500,0
15000-19999,90,19500,14000,0
15000-19999,90,19500,14500,0
15000-19999,90,19500,15000,0
15000-19999,90,19500,15500,0
15000-19999,90,19500,16000,0
15000-19999,90,19500,16500,0
15000-19999,90,19500,17000,0
15000-19999,90,19500,17160,1
15000-19999,90,19500,17660,1
15000-19999,90,19500,18160,1
15000-19999,90,19500,18660,1
15000-19999,90,19500,19160,1
15000-19999,90,20000,0,0
15000-19999,90,20000,500,0
15000-19999,90,20000,1000,0
15000-19999,90,20000,1500,0
15000-19999,90,20000,2000,0
15000-19999,90,20000,2500,0
15000-19999,90,20000,3000,0
15000-19999,90,20000,3500,0
15000-19999,90,20000,4000,0
15000-19999,90,20000,4500,0
15000-19999,90,20000,5000,0
15000-19999,90,20000,5500,0
15000-19999,90,20000,6000,0
15000-19999,90,20000,6500,0
15000-19999,90,20000,7000,0
15000-19999,90,20000,7500,0
15000-19999,90,20000,8000,0
15000-19999,90,20000,8500,0
15000-19999,90,20000,9000,0
15000-19999,90,20000,9500,0
15000-19999,90,20000,10000,0
15000-19999,90,20000,10500,0
15000-19999,90,20000,11000,0
15000-19999,90,20000,11500,0
15000-19999,90,20000,12000,0
15000-19999,90,20000,12500,0
15000-19999,90,20000,13000,0
15000-19999,90,20000,13500,0
15000-19999,90,20000,14000,0
15000-19999,90,20000,14500,0
15000-19999,90,20000,15000,0
15000-19999,90,20000,15500,0
15000-19999,90,20000,16000,0
15000-19999,90,20000,16500,0
15000-19999,90,20000,17000,0
15000-19999,90,20000,17500,0
15000-19999,90,20000,17600,1
15000-19999,90,20000,18100,1
15000-19999,90,20000,18600,1
15000-19999,90,20000,19100,1
15000-19999,90,20000,19600,1
20000-8,30,20000,0,0
20000-8,30,20000,500,0
20000-8,30,20000,1000,0
20000-8,30,20000,1500,0
20000-8,30,20000,2000,0
20000-8,30,20000,2500,0
20000-8,30,20000,3000,0
20000-8,30,20000,3500,0
20000-8,30,20000,4000,0
20000-8,30,20000,4500,0
20000-8,30,20000,5000,0
20000-8,30,20000,5500,0
20000-8,30,20000,6000,0
20000-8,30,20000,6500,0
20000-8,30,20000,7000,0
20000-8,30,20000,7500,0
20000-8,30,20000,8000,0
20000-8,30,20000,8500,0
20000-8,30,20000,9000,0
20000-8,30,20000,9500,0
20000-8,30,20000,10000,0
20000-8,30,20000,10500,0
20000-8,30,20000,11000,0
20000-8,30,20000,11500,0
20000-8,30,20000,12000,0
20000-8,30,20000,12500,0
20000-8,30,20000,13000,0
20000-8,30,20000,13500,0
20000-8,30,20000,14000,0
20000-8,30,20000,14500,0
20000-8,30,20000,15000,0
20000-8,30,20000,15500,0
20000-8,30,20000,16000,0
20000-8,30,20000,16200,1
20000-8,30,20000,17200,1
20000-8,30,20000,18200,1
20000-8,30,20000,19200,1
20000-8,30,20500,0,0
20000-8,30,20500,500,0
20000-8,30,20500,1000,0
20000-8,30,20500,1500,0
20000-8,30,20500,2000,0
20000-8,30,20500,2500,0
20000-8,30,20500,3000,0
20000-8,30,20500,3500,0
20000-8,30,20500,4000,0
20000-8,30,20500,4500,0
20000-8,30,20500,5000,0
20000-8,30,20500,5500,0
20000-8,30,20500,6000,0
20000-8,30,20500,6500,0
20000-8,30,20500,7000,0
20000-8,30,20500,7500,0
20000-8,30,20500,8000,0
20000-8,30,20500,8500,0
20000-8,30,20500,9000,0
20000-8,30,20500,9500,0
20000-8,30,20500,10000,0
20000-8,30,20500,10500,0
20000-8,30,20500,11000,0
20000-8,30,20500,11500,0
20000-8,30,20500,12000,0
20000-8,30,20500,12500,0
20000-8,30,20500,13000,0
20000-8,30,20500,13500,0
20000-8,30,20500,14000,0
20000-8,30,20500,14500,0
20000-8,30,20500,15000,0
20000-8,30,20500,15500,0
20000-8,30,20500,16000,0
20000-8,30,20500,16500,0
20000-8,30,20500,16605,1
20000-8,30,20500,17605,1
20000-8,30,20500,18605,1
20000-8,30,20500,19605,1
20000-8,30,21000,0,0
20000-8,30,21000,500,0
20000-8,30,21000,1000,0
20000-8,30,21000,1500,0
20000-8,30,21000,2000,0
20000-8,30,21000,2500,0
20000-8,30,21000,3000,0
20000-8,30,21000,3500,0
20000-8,30,21000,4000,0
20000-8,30,21000,4500,0
20000-8,30,21000,5000,0
20000-8,30,21000,5500,0
20000-8,30,21000,6000,0
20000-8,30,21000,6500,0
20000-8,30,21000,7000,0
20000-8,30,21000,7500,0
20000-8,30,21000,8000,0
20000-8,30,21000,8500,0
20000-8,30,21000,9000,0
20000-8,30,21000,9500,0
20000-8,30,21000,10000,0
20000-8,30,21000,10500,0
20000-8,30,21000,11000,0
20000-8,30,21000,11500,0
20000-8,30,21000,12000,0
20000-8,30,21000,12500,0
20000-8,30,21000,13000,0
20000-8,30,21000,13500,0
20000-8,30,21000,14000,0
20000-8,30,21000,14500,0
20000-8,30,21000,15000,0
20000-8,30,21000,15500,0
20000-8,30,21000,16000,0
20000-8,30,21000,16500,0
20000-8,30,21000,17000,0
20000-8,30,21000,17010,1
20000-8,30,21000,18010,1
20000-8,30,21000,19010,1
20000-8,30,21000,20010,1
20000-8,30,21500,0,0
20000-8,30,21500,500,0
20000-8,30,21500,1000,0
20000-8,30,21500,1500,0
20000-8,30,21500,2000,0
20000-8,30,21500,2500,0
20000-8,30,21500,3000,0
20000-8,30,21500,3500,0
20000-8,30,21500,4000,0
20000-8,30,21500,4500,0
20000-8,30,21500,5000,0
20000-8,30,21500,5500,0
20000-8,30,21500,6000,0
20000-8,30,21500,6500,0
20000-8,30,21500,7000,0
20000-8,30,21500,7500,0
20000-8,30,21500,8000,0
20000-8,30,21500,8500,0
20000-8,30,21500,9000,0
20000-8,30,21500,9500,0
20000-8,30,21500,10000,0
20000-8,30,21500,10500,0
20000-8,30,21500,11000,0
20000-8,30,21500,11500,0
20000-8,30,21500,12000,0
20000-8,30,21500,12500,0
20000-8,30,21500,13000,0
20000-8,30,21500,13500,0
20000-8,30,21500,14000,0
20000-8,30,21500,14500,0
20000-8,30,21500,15000,0
20000-8,30,21500,15500,0
20000-8,30,21500,16000,0
20000-8,30,21500,16500,0
20000-8,30,21500,17000,0
20000-8,30,21500,17415,1
20000-8,30,21500,18415,1
20000-8,30,21500,19415,1
20000-8,30,21500,20415,1
20000-8,30,21500,21415,1
20000-8,30,22000,0,0
20000-8,30,22000,500,0
20000-8,30,22000,1000,0
20000-8,30,22000,1500,0
20000-8,30,22000,2000,0
20000-8,30,22000,2500,0
20000-8,30,22000,3000,0
20000-8,30,22000,3500,0
20000-8,30,22000,4000,0
20000-8,30,22000,4500,0
20000-8,30,22000,5000,0
20000-8,30,22000,5500,0
20000-8,30,22000,6000,0
20000-8,30,22000,6500,0
20000-8,30,22000,7000,0
20000-8,30,22000,7500,0
20000-8,30,22000,8000,0
20000-8,30,22000,8500,0
20000-8,30,22000,9000,0
20000-8,30,22000,9500,0
20000-8,30,22000,10000,0
20000-8,30,22000,10500,0
20000-8,30,22000,11000,0
20000-8,30,22000,11500,0
20000-8,30,22000,12000,0
20000-8,30,22000,12500,0
20000-8,30,22000,13000,0
20000-8,30,22000,13500,0
20000-8,30,22000,14000,0
20000-8,30,22000,14500,0
20000-8,30,22000,15000,0
20000-8,30,22000,15500,0
20000-8,30,22000,16000,0
20000-8,30,22000,16500,0
20000-8,30,22000,17000,0
20000-8,30,22000,17500,0
20000-8,30,22000,17820,1
20000-8,30,22000,18820,1
20000-8,30,22000,19820,1
20000-8,30,22000,20820,1
20000-8,30,22000,21820,1
20000-8,30,22500,0,0
20000-8,30,22500,500,0
20000-8,30,22500,1000,0
20000-8,30,22500,1500,0
20000-8,30,22500,2000,0
20000-8,30,22500,2500,0
20000-8,30,22500,3000,0
20000-8,30,22500,3500,0
20000-8,30,22500,4000,0
20000-8,30,22500,4500,0
20000-8,30,22500,5000,0
20000-8,30,22500,5500,0
20000-8,30,22500,6000,0
20000-8,30,22500,6500,0
20000-8,30,22500,7000,0
20000-8,30,22500,7500,0
20000-8,30,22500,8000,0
20000-8,30,22500,8500,0
20000-8,30,22500,9000,0
20000-8,30,22500,9500,0
20000-8,30,22500,10000,0
20000-8,30,22500,10500,0
20000-8,30,22500,11000,0
20000-8,30,22500,11500,0
20000-8,30,22500,12000,0
20000-8,30,22500,12500,0
20000-8,30,22500,13000,0
20000-8,30,22500,13500,0
20000-8,30,22500,14000,0
20000-8,30,22500,14500,0
20000-8,30,22500,15000,0
20000-8,30,22500,15500,0
20000-8,30,22500,16000,0
20000-8,30,22500,16500,0
20000-8,30,22500,17000,0
20000-8,30,22500,17500,0
20000-8,30,22500,18000,0
20000-8,30,22500,18225,1
20000-8,30,22500,19225,1
20000-8,30,22500,20225,1
20000-8,30,22500,21225,1
20000-8,30,22500,22225,1
20000-8,30,23000,0,0
20000-8,30,23000,500,0
20000-8,30,23000,1000,0
20000-8,30,23000,1500,0
20000-8,30,23000,2000,0
20000-8,30,23000,2500,0
20000-8,30,23000,3000,0
20000-8,30,23000,3500,0
20000-8,30,23000,4000,0
20000-8,30,23000,4500,0
20000-8,30,23000,5000,0
20000-8,30,23000,5500,0
20000-8,30,23000,6000,0
20000-8,30,23000,6500,0
20000-8,30,23000,7000,0
20000-8,30,23000,7500,0
20000-8,30,23000,8000,0
20000-8,30,23000,8500,0
20000-8,30,23000,9000,0
20000-8,30,23000,9500,0
20000-8,30,23000,10000,0
20000-8,30,23000,10500,0
20000-8,30,23000,11000,0
20000-8,30,23000,11500,0
20000-8,30,23000,12000,0
20000-8,30,23000,12500,0
20000-8,30,23000,13000,0
20000-8,30,23000,13500,0
20000-8,30,23000,14000,0
20000-8,30,23000,14500,0
20000-8,30,23000,15000,0
20000-8,30,23000,15500,0
20000-8,30,23000,16000,0
20000-8,30,23000,16500,0
20000-8,30,23000,17000,0
20000-8,30,23000,17500,0
20000-8,30,23000,18000,0
20000-8,30,23000,18500,0
20000-8,30,23000,18630,1
20000-8,30,23000,19630,1
20000-8,30,23000,20630,1
20000-8,30,23000,21630,1
20000-8,30,23000,22630,1
20000-8,30,23500,0,0
20000-8,30,23500,500,0
20000-8,30,23500,1000,0
20000-8,30,23500,1500,0
20000-8,30,23500,2000,0
20000-8,30,23500,2500,0
20000-8,30,23500,3000,0
20000-8,30,23500,3500,0
20000-8,30,23500,4000,0
20000-8,30,23500,4500,0
20000-8,30,23500,5000,0
20000-8,30,23500,5500,0
20000-8,30,23500,6000,0
20000-8,30,23500,6500,0
20000-8,30,23500,7000,0
20000-8,30,23500,7500,0
20000-8,30,23500,8000,0
20000-8,30,23500,8500,0
20000-8,30,23500,9000,0
20000-8,30,23500,9500,0
20000-8,30,23500,10000,0
20000-8,30,23500,10500,0
20000-8,30,23500,11000,0
20000-8,30,23500,11500,0
20000-8,30,23500,12000,0
20000-8,30,23500,12500,0
20000-8,30,23500,13000,0
20000-8,30,23500,13500,0
20000-8,30,23500,14000,0
20000-8,30,23500,14500,0
20000-8,30,23500,15000,0
20000-8,30,23500,15500,0
20000-8,30,23500,16000,0
20000-8,30,23500,16500,0
20000-8,30,23500,17000,0
20000-8,30,23500,17500,0
20000-8,30,23500,18000,0
20000-8,30,23500,18500,0
20000-8,30,23500,19000,0
20000-8,30,23500,19035,1
20000-8,30,23500,20035,1
20000-8,30,23500,21035,1
20000-8,30,23500,22035,1
20000-8,30,23500,23035,1
20000-8,30,24000,0,0
20000-8,30,24000,500,0
20000-8,30,24000,1000,0
20000-8,30,24000,1500,0
20000-8,30,24000,2000,0
20000-8,30,24000,2500,0
20000-8,30,24000,3000,0
20000-8,30,24000,3500,0
20000-8,30,24000,4000,0
20000-8,30,24000,4500,0
20000-8,30,24000,5000,0
20000-8,30,24000,5500,0
20000-8,30,24000,6000,0
20000-8,30,24000,6500,0
20000-8,30,24000,7000,0
20000-8,30,24000,7500,0
20000-8,30,24000,8000,0
20000-8,30,24000,8500,0
20000-8,30,24000,9000,0
20000-8,30,24000,9500,0
20000-8,30,24000,10000,0
20000-8,30,24000,10500,0
20000-8,30,24000,11000,0
20000-8,30,24000,11500,0
20000-8,30,24000,12000,0
20000-8,30,24000,12500,0
20000-8,30,24000,13000,0
20000-8,30,24000,13500,0
20000-8,30,24000,14000,0
20000-8,30,24000,14500,0
20000-8,30,24000,15000,0
20000-8,30,24000,15500,0
20000-8,30,24000,16000,0
20000-8,30,24000,16500,0
20000-8,30,24000,17000,0
20000-8,30,24000,17500,0
20000-8,30,24000,18000,0
20000-8,30,24000,18500,0
20000-8,30,24000,19000,0
20000-8,30,24000,19440,1
20000-8,30,24000,20440,1
20000-8,30,24000,21440,1
20000-8,30,24000,22440,1
20000-8,30,24000,23440,1
20000-8,30,24500,0,0
20000-8,30,24500,500,0
20000-8,30,24500,1000,0
20000-8,30,24500,1500,0
20000-8,30,24500,2000,0
20000-8,30,24500,2500,0
20000-8,30,24500,3000,0
20000-8,30,24500,3500,0
20000-8,30,24500,4000,0
20000-8,30,24500,4500,0
20000-8,30,24500,5000,0
20000-8,30,24500,5500,0
20000-8,30,24500,6000,0
20000-8,30,24500,6500,0
20000-8,30,24500,7000,0
20000-8,30,24500,7500,0
20000-8,30,24500,8000,0
20000-8,30,24500,8500,0
20000-8,30,24500,9000,0
20000-8,30,24500,9500,0
20000-8,30,24500,10000,0
20000-8,30,24500,10500,0
20000-8,30,24500,11000,0
20000-8,30,24500,11500,0
20000-8,30,24500,12000,0
20000-8,30,24500,12500,0
20000-8,30,24500,13000,0
20000-8,30,24500,13500,0
20000-8,30,24500,14000,0
20000-8,30,24500,14500,0
20000-8,30,24500,15000,0
20000-8,30,24500,15500,0
20000-8,30,24500,16000,0
20000-8,30,24500,16500,0
20000-8,30,24500,17000,0
20000-8,30,24500,17500,0
20000-8,30,24500,18000,0
20000-8,30,24500,18500,0
20000-8,30,24500,19000,0
20000-8,30,24500,19500,0
20000-8,30,24500,19845,1
20000-8,30,24500,20845,1
20000-8,30,24500,21845,1
20000-8,30,24500,22845,1
20000-8,30,24500,23845,1
20000-8,30,25000,0,0
20000-8,30,25000,500,0
20000-8,30,25000,1000,0
20000-8,30,25000,1500,0
20000-8,30,25000,2000,0
20000-8,30,25000,2500,0
20000-8,30,25000,3000,0
20000-8,30,25000,3500,0
20000-8,30,25000,4000,0
20000-8,30,25000,4500,0
20000-8,30,25000,5000,0
20000-8,30,25000,5500,0
20000-8,30,25000,6000,0
20000-8,30,25000,6500,0
20000-8,30,25000,7000,0
20000-8,30,25000,7500,0
20000-8,30,25000,8000,0
20000-8,30,25000,8500,0
20000-8,30,25000,9000,0
20000-8,30,25000,9500,0
20000-8,30,25000,10000,0
20000-8,30,25000,10500,0
20000-8,30,25000,11000,0
20000-8,30,25000,11500,0
20000-8,30,25000,12000,0
20000-8,30,25000,12500,0
20000-8,30,25000,13000,0
20000-8,30,25000,13500,0
20000-8,30,25000,14000,0
20000-8,30,25000,14500,0
20000-8,30,25000,15000,0
20000-8,30,25000,15500,0
20000-8,30,25000,16000,0
20000-8,30,25000,16500,0
20000-8,30,25000,17000,0
20000-8,30,25000,17500,0
20000-8,30,25000,18000,0
20000-8,30,25000,18500,0
20000-8,30,25000,19000,0
20000-8,30,25000,19500,0
20000-8,30,25000,20000,1
20000-8,30,25000,21000,1
20000-8,30,25000,22000,1
20000-8,30,25000,23000,1
20000-8,30,25000,24000,1
20000-8,30,25000,25000,1
20000-8,30,25500,0,0
20000-8,30,25500,500,0
20000-8,30,25500,1000,0
20000-8,30,25500,1500,0
20000-8,30,25500,2000,0
20000-8,30,25500,2500,0
20000-8,30,25500,3000,0
20000-8,30,25500,3500,0
20000-8,30,25500,4000,0
20000-8,30,25500,4500,0
20000-8,30,25500,5000,0
20000-8,30,25500,5500,0
20000-8,30,25500,6000,0
20000-8,30,25500,6500,0
20000-8,30,25500,7000,0
20000-8,30,25500,7500,0
20000-8,30,25500,8000,0
20000-8,30,25500,8500,0
20000-8,30,25500,9000,0
20000-8,30,25500,9500,0
